,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
0,2021,TN,Tennessee,99,All Sectors,ALL,all fuels,79057.20942,thousand megawatthours
1,2021,MN,Minnesota,99,All Sectors,ALL,all fuels,59195.76872,thousand megawatthours
2,2021,OK,Oklahoma,99,All Sectors,ALL,all fuels,80754.58606,thousand megawatthours
3,2021,RI,Rhode Island,99,All Sectors,ALL,all fuels,9322.4512,thousand megawatthours
4,2021,NM,New Mexico,99,All Sectors,ALL,all fuels,35192.36528,thousand megawatthours
5,2021,AZ,Arizona,99,All Sectors,ALL,all fuels,108604.61988,thousand megawatthours
6,2021,NV,Nevada,99,All Sectors,ALL,all fuels,41754.584,thousand megawatthours
7,2021,CA,California,99,All Sectors,ALL,all fuels,197165.10564,thousand megawatthours
8,2021,OR,Oregon,99,All Sectors,ALL,all fuels,61016.87415,thousand megawatthours
9,2021,TX,Texas,99,All Sectors,ALL,all fuels,481844.25569,thousand megawatthours
10,2021,MT,Montana,99,All Sectors,ALL,all fuels,24947.92314,thousand megawatthours
11,2021,IL,Illinois,99,All Sectors,ALL,all fuels,181524.45875,thousand megawatthours
12,2021,SC,South Carolina,99,All Sectors,ALL,all fuels,98390.44093,thousand megawatthours
13,2021,CT,Connecticut,99,All Sectors,ALL,all fuels,44079.94261,thousand megawatthours
14,2021,KS,Kansas,99,All Sectors,ALL,all fuels,56630.70343,thousand megawatthours
15,2021,KY,Kentucky,99,All Sectors,ALL,all fuels,69908.41119,thousand megawatthours
16,2021,NC,North Carolina,99,All Sectors,ALL,all fuels,129923.36415,thousand megawatthours
17,2021,PA,Pennsylvania,99,All Sectors,ALL,all fuels,241331.43375,thousand megawatthours
18,2021,NJ,New Jersey,99,All Sectors,ALL,all fuels,61433.79161,thousand megawatthours
19,2021,AK,Alaska,99,All Sectors,ALL,all fuels,6595.81806,thousand megawatthours
20,2021,LA,Louisiana,99,All Sectors,ALL,all fuels,98715.313,thousand megawatthours
21,2021,NY,New York,99,All Sectors,ALL,all fuels,124944.9352,thousand megawatthours
22,2021,US,U.S. Total,99,All Sectors,ALL,all fuels,4108302.83478,thousand megawatthours
23,2021,MI,Michigan,99,All Sectors,ALL,all fuels,115513.13001,thousand megawatthours
24,2021,MA,Massachusetts,99,All Sectors,ALL,all fuels,19477.34728,thousand megawatthours
25,2021,VT,Vermont,99,All Sectors,ALL,all fuels,2107.70286,thousand megawatthours
26,2021,MD,Maryland,99,All Sectors,ALL,all fuels,38235.71335,thousand megawatthours
27,2021,CO,Colorado,99,All Sectors,ALL,all fuels,56838.47177,thousand megawatthours
28,2021,VA,Virginia,99,All Sectors,ALL,all fuels,93478.1817,thousand megawatthours
29,2021,FL,Florida,99,All Sectors,ALL,all fuels,246450.37497,thousand megawatthours
30,2021,OH,Ohio,99,All Sectors,ALL,all fuels,125948.00757,thousand megawatthours
31,2021,ID,Idaho,99,All Sectors,ALL,all fuels,16836.47278,thousand megawatthours
32,2021,HI,Hawaii,99,All Sectors,ALL,all fuels,9181.83081,thousand megawatthours
33,2021,UT,Utah,99,All Sectors,ALL,all fuels,42565.64501,thousand megawatthours
34,2021,WV,West Virginia,99,All Sectors,ALL,all fuels,65836.06299,thousand megawatthours
35,2021,AL,Alabama,99,All Sectors,ALL,all fuels,142733.33043,thousand megawatthours
36,2021,WY,Wyoming,99,All Sectors,ALL,all fuels,43460.74358,thousand megawatthours
37,2021,DE,Delaware,99,All Sectors,ALL,all fuels,4305.126,thousand megawatthours
38,2021,MO,Missouri,99,All Sectors,ALL,all fuels,76941.40996,thousand megawatthours
39,2021,NE,Nebraska,99,All Sectors,ALL,all fuels,37910.898,thousand megawatthours
40,2021,MS,Mississippi,99,All Sectors,ALL,all fuels,67723.49701,thousand megawatthours
41,2021,GA,Georgia,99,All Sectors,ALL,all fuels,124200.52847,thousand megawatthours
42,2021,SD,South Dakota,99,All Sectors,ALL,all fuels,17322.40898,thousand megawatthours
43,2021,IA,Iowa,99,All Sectors,ALL,all fuels,67207.00761,thousand megawatthours
44,2021,NH,New Hampshire,99,All Sectors,ALL,all fuels,17193.25356,thousand megawatthours
45,2021,WA,Washington,99,All Sectors,ALL,all fuels,110808.40065,thousand megawatthours
46,2021,AR,Arkansas,99,All Sectors,ALL,all fuels,61100.06803,thousand megawatthours
47,2021,ME,Maine,99,All Sectors,ALL,all fuels,10908.1444,thousand megawatthours
48,2021,ND,North Dakota,99,All Sectors,ALL,all fuels,43032.37847,thousand megawatthours
49,2021,WI,Wisconsin,99,All Sectors,ALL,all fuels,64276.47965,thousand megawatthours
50,2021,IN,Indiana,99,All Sectors,ALL,all fuels,94164.79587,thousand megawatthours
